Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
226,227,"DAVIES, Andrew",Wales,£650
228,228,"BARNETT,Gary",England,£646
229,229,"TUPUSCHIS,Olaf",Germany,£633
230,230,"ALLEN, Peter",England,£625
230,230,"HOLDEN, Lee",England,£625
233,232,"COTTENJÉ, Yves",Belgium,£608
233,232,"MUNCH,Kevin",Germany,£608
235,234,"SCHNEIDER, Stephan",Germany,£607
236,235,"ALFORD,Robert",England,£600
236,235,"BARBERO,Julio",Gibraltor,£600
356,235,"FROST,Trevor",England,£600
236,235,"JOWETT, Dave",England,£600
236,235,"O'DONNELL,Ray",Australia,£600
236,235,"PECJAK,Sebastijan",Slovenia,£600
241,241,"O'NEILL,Aodhagan",Ireland,£575
242,242,"SINNAEVE, Bob",Canada,£571
230,243,"KRALT, Willem",Netherlands,£550
243,243,"FOSTER, Dickie",England,£550
243,243,"SCHUTSCH,Deiter",USA,£550
245,246,"ZIOLKOWSKI, Matheus",Germany,£546
246,247,"KRALT,Elmer",Netherlands,£525
246,247,"TILLER, Mark",England,£525
249,249,"CALLABY, Andy",England,£500
249,249,"COULTER, Andrew",Northern Ireland,£500
249,249,"CRITCHETT, Ian",England,£500
249,249,"FITTON,Les",England,£500
249,249,"FLETCHER, Norman",England,£500
249,249,"GEUS,de Leon",Netherlands,£500
249,249,"LEIGHTON, Jim",Scotland,£500
249,249,"WILLIAMS, Darren",England,£500
259,257,"NEDIC,Sladan",Germany,£483
260,258,"FEDERICO, George",Gibraltar,£475
260,258,"PERKINS,Ian",England,£475
262,260,"NIELSEN, Mark",Canada,£471
262,260,"NITHAMMER, Kai",Germany,£471
262,260,"SWITZER,Dave",Canada,£471
246,263,"DAGLISH, Chris",England,£450
265,263,"JOUANNET,Barry",Australia,£450
265,263,"WEYMAN,Jerry",Australia,£450
249,266,"ARCHER, Jon",England,£425
267,266,"KOCH, Karsten",Germany,£425
344,266,"MARTIN,Tom",England,£425
