Date, Tournament, Rank, Winner_Name, Average
03/28/2009,Players Championship,PT,Mark Walsh,
03/29/2009,UK Open Qualifier 1,PT,Phil Taylor,
04/04/2009,Players Championship,PT,Phil Taylor,
04/05/2009,Players Championship,PT,Phil Taylor,
04/11/2009,Players Championship,PT,Michael van Gerwen,
04/12/2009,UK Open Qualifier 1,PT,Phil Taylor,
04/18/2009,Players Championship,PT,James Wade,
04/19/2009,UK Open Qualifier 1,PT,Mark Walsh,
04/26/2009,UK Open Qualifier 1,Q,,
05/09/2009,Players Championship,PT,Gary Anderson,
05/10/2009,UK Open Qualifier 1,PT,Jamie Caven,
05/25/2009,Premier League,U,James Wade,97.6
05/31/2009,North American Darts Championship,U,Scotty Burnett,
06/07/2009,UK Open,MJ,Phil Taylor,107.38
06/13/2009,Players Championship,PT,Mark Walsh,
06/14/2009,Players Championship,PT,Colin Osborne,
06/20/2009,Players Championship,PT,Andy Smith,
06/21/2009,Players Championship,PT,Mark Walsh,
06/28/2009,Las Vegas Desert Classic Qualifier,Q,,
06/29/2009,Las Vegas Desert Classic Qualifier,Q,,
06/30/2009,Players Championship,PT,Ronnie Baxter,
07/05/2009,Las Vegas Desert Classic,MJ,Phil Taylor,102.97
07/26/2009,World Matchplay,MJ,Phil Taylor,105.73
08/09/2009,Players Championship,PT,Paul Nicholson,
08/16/2009,Players Championship,PT,Dennis Priestley,
08/22/2009,Players Championship,PT,Colin Lloyd,
08/23/2009,PDC US Open,Premier Open,Dennis Priestley,
09/05/2009,Players Championship,PT,Adrian Lewis,
