Date, Tournament, Rank, Winner_Name, Average
11/04/2018,Development Tour 19,-,Dimitri Van den Bergh,88.18
11/04/2018,Development Tour 20,-,Ted Evetts,92.1
11/04/2018,World Series of Darts Finals,U,James Wade,96.11
11/05/2018,Grand Slam Qualifier,Q,,
11/10/2018,Challenge Tour 17,-,David Evans,93
11/10/2018,Challenge Tour 18,-,Jonathan Worsley,95.25
11/11/2018,Challenge Tour 19,-,Michael Rasztovits,91.27
11/11/2018,Challenge Tour 20,-,Ted Evetts,94.19
11/18/2018,Grand Slam,MJ,Gerwyn Price,96.58
11/25/2018,Players Championship Finals,MJ,Daryl Gurney,97.29
11/25/2018,World Championship - Women's Qualifier (UK),Q,Lisa Ashton,82.49
11/25/2018,World Youth Championship,-,Dimitri Van den Bergh,3
11/26/2018,World Championship Tour Card Holder Qualifier,Q,,
01/01/2019,World Championship,WC,Michael van Gerwen,103.28
01/02/2019,PDC Tour Card European Qualifying School 1,Q,Niels Zonneveld,88.13
01/03/2019,PDC Tour Card European Qualifying School 2,Q,Mike van Duivenbode,92.35
01/04/2019,PDC Tour Card European Qualifying School 2,Q,Christian Bunse,87.54
01/05/2019,PDC Tour Card European Qualifying School 2,Q,Darius Labanauskas,89.68
01/12/2019,JDC Junior Tour 1,-,Leighton Bennett,87.33
01/12/2019,JDC Junior Tour 2,-,Harry Gregory,76.46
01/17/2019,PDC Tour Card UK Qualifying School 1,Q,,
01/18/2019,PDC Tour Card UK Qualifying School 2,Q,,
01/19/2019,European Tour Eastern Europe Qualifier 1,Q,Boris Koltsov,3
01/19/2019,European Tour Eastern Europe Qualifier 2,Q,Pavel Jirkal,3
01/19/2019,PDC Tour Card UK Qualifying School 3,Q,,
01/20/2019,European Tour Eastern Europe Qualifier 3,Q,Karel Sedláček,3
01/20/2019,European Tour Eastern Europe Qualifier 4,Q,Pavel Jirkal,3
01/20/2019,PDC Tour Card UK Qualifying School 4,Q,,
01/25/2019,Asian Tour 1,-,Royden Lam,90.07
01/26/2019,Asian Tour 2,-,Paul Lim,94.04
01/26/2019,Challenge Tour 1,-,Shaun Carroll,88.23
01/26/2019,Challenge Tour 2,-,Stephen Burton,91.04
01/27/2019,Challenge Tour 3,-,Ritchie Edhouse,91.33
01/27/2019,Challenge Tour 4,-,Boris Koltsov,89.39
01/31/2019,European Tour Nordic and Baltic Qualifier 4,Q,Dennis Nilsson,89.17
02/01/2019,DPA Pro Tour 1,-,James Bailey,90.69
02/01/2019,European Tour Nordic and Baltic Qualifier 5,Q,Johan Engstrom,82.36
02/02/2019,DPA Pro Tour 2,-,Steve Fitzpatrick,82.48
02/02/2019,DPA Pro Tour 3,-,Damon Heta,93.49
02/02/2019,European Tour Nordic and Baltic Qualifier 6,Q,Kim Viljanen,88.96
02/02/2019,Nordic Baltic Tour 1,-,Madars Razma,94.3
02/03/2019,DPA Pro Tour 4,-,Damon Heta,88.54
02/03/2019,Masters,U,Michael van Gerwen,100.43
02/03/2019,Nordic Baltic Tour 2,-,Darius Labanauskas,93.44
02/09/2019,Players Championship 1,PT,Michael van Gerwen,103.95
02/10/2019,Players Championship 2,PT,Dave Chisnall,92.95
02/15/2019,Asian Tour 3,-,Haruki Muramatsu,91.44
02/16/2019,Asian Tour 4,-,Seigo Asada,86.08
02/16/2019,JDC Junior Tour 3,-,Leighton Bennett,82.01
02/16/2019,JDC Junior Tour 4,-,James Beeton,79.06
02/16/2019,Players Championship 3,PT,Michael van Gerwen,97.09
02/17/2019,Players Championship 4,PT,Glen Durrant,101.11
02/22/2019,European Tour EU Card Holder Qualifier 1,Q,,
02/22/2019,European Tour EU Card Holder Qualifier 2,Q,,
02/22/2019,European Tour UK Card Holder Qualifier 1,Q,,
02/22/2019,European Tour UK Card Holder Qualifier 2,Q,,
02/23/2019,EADC Pro Tour 1,-,Alexei Kadochnikov,91.46
02/23/2019,EADC Pro Tour 2,-,Andrei Pontus,83.18
02/23/2019,Players Championship 5,PT,Gerwyn Price,101.83
02/24/2019,EADC Pro Tour 3,-,Alexei Kadochnikov,85.93
02/24/2019,Players Championship 6,PT,Gerwyn Price,101.95
03/01/2019,DPA Pro Tour 5,-,Ben Robb,80.85
03/02/2019,DPA Pro Tour 6,-,David Littleboy,77.99
03/02/2019,DPA Pro Tour 7,-,Damon Heta,87.78
03/03/2019,DPA Pro Tour 8,-,James Bailey,77.69
03/03/2019,UK Open,MJ,Nathan Aspinall,93.61
03/08/2019,European Tour Nordic and Baltic Qualifier 7,Q,Dennis Nilsson,85.65
03/08/2019,European Tour Nordic and Baltic Qualifier 9,Q,Daniel Larsson,96.48
03/09/2019,Development Tour 1,-,Ted Evetts,94.04
03/09/2019,Development Tour 2,-,Nathan Rafferty,85.88
03/09/2019,European Tour Eastern Europe Qualifier 5,Q,Pero Ljubić,3
03/09/2019,European Tour Eastern Europe Qualifier 6,Q,Boris Koltsov,3
03/09/2019,European Tour Nordic and Baltic Qualifier 10,Q,Cor Dekker,82.29
03/09/2019,Nordic Baltic Tour 3,-,Madars Razma,88.42
03/10/2019,Development Tour 3,-,Ryan Meikle,85.42
03/10/2019,Development Tour 4,-,Ted Evetts,90.1
03/10/2019,European Tour Eastern Europe Qualifier 7,Q,Pál Székely,3
03/10/2019,European Tour Eastern Europe Qualifier 8,Q,Krzysztof Kciuk,3
03/10/2019,European Tour Nordic and Baltic Qualifier 8,Q,,
03/10/2019,Nordic Baltic Tour 4,-,Dennis Nilsson,86.94
03/15/2019,European Tour EU Card Holder Qualifier 3,Q,,
03/15/2019,European Tour EU Card Holder Qualifier 4,Q,,
03/15/2019,European Tour UK Card Holder Qualifier 3,Q,,
03/15/2019,European Tour UK Card Holder Qualifier 4,Q,,
03/16/2019,JDC Junior Tour 5,-,Leighton Bennett,86.44
03/16/2019,JDC Junior Tour 6,-,Leighton Bennett,89.32
03/16/2019,Players Championship 7,PT,Dave Chisnall,101.22
03/17/2019,Players Championship 8,PT,Adrian Lewis,96.97
03/21/2019,European Tour Associate Member Qualifier 1,Q,,
03/21/2019,European Tour Home Nation Qualifier 1,Q,,
03/24/2019,European Tour 1,ET,Michael van Gerwen,100.86
03/28/2019,European Tour Associate Member Qualifier 2,Q,,
03/28/2019,European Tour Home Nation Qualifier 2,Q,,
03/29/2019,Asian Tour 5,-,Noel Malicdem,99.17
03/30/2019,Asian Tour 6,-,Lourence Ilagan,86.5
03/30/2019,CDC Pro Tour 1,-,Darin Young,88.3
03/31/2019,CDC Pro Tour 2,-,Jim Long,86.2
03/31/2019,European Tour 2,ET,Daryl Gurney,96.41
04/05/2019,DPA Pro Tour 9,-,Gordon Mathers,86.95
04/06/2019,DPA Pro Tour 10,-,James Bailey,88.8
04/06/2019,DPA Pro Tour 11,-,Gordon Mathers,89.51
04/06/2019,Players Championship 9,PT,James Wade,98.61
04/07/2019,DPA Pro Tour 12,-,Raymond O'Donnell,84.91
04/07/2019,Players Championship 10,PT,Jonny Clayton,96.95
04/12/2019,European Tour EU Card Holder Qualifier 5,Q,,
04/12/2019,European Tour EU Card Holder Qualifier 6,Q,,
04/12/2019,European Tour UK Card Holder Qualifier 5,Q,,
04/12/2019,European Tour UK Card Holder Qualifier 6,Q,,
04/13/2019,Players Championship 11,PT,James Wade,95.97
04/14/2019,Players Championship 12,PT,James Wade,98.19
04/19/2019,European Tour Associate Member Qualifier 3,Q,,
04/19/2019,European Tour Home Nation Qualifier 3,Q,,
04/20/2019,Development Tour 5,-,Jeffrey de Zwaan,104.19
04/20/2019,Development Tour 6,-,Corey Cadby,93.42
04/21/2019,Development Tour 7,-,Ryan Meikle,85.35
04/21/2019,Development Tour 8,-,Callan Rydz,94.59
04/22/2019,European Tour 3,ET,Michael van Gerwen,99.77
04/25/2019,European Tour Associate Member Qualifier 4,Q,,
04/25/2019,European Tour Home Nation Qualifier 4,Q,,
04/27/2019,EADC Pro Tour 4,-,Boris Koltsov,93.54
04/27/2019,EADC Pro Tour 5,-,Boris Koltsov,86.61
04/27/2019,JDC Junior Tour 7,-,Nathan Care,71.83
04/27/2019,JDC Junior Tour 8,-,Leighton Bennett,92.33
04/28/2019,EADC Pro Tour 6,-,Boris Koltsov,90.82
04/28/2019,European Tour 4,ET,Michael van Gerwen,101.05
04/30/2019,Players Championship 13,PT,William O'Connor,98.76
05/01/2019,Players Championship 14,PT,Jeffrey de Zwaan,100.25
05/02/2019,DPA Pro Tour 13,-,James Bailey,81.92
05/02/2019,European Tour Associate Member Qualifier 5,Q,,
05/02/2019,European Tour Home Nation Qualifier 5,Q,,
05/03/2019,DPA Pro Tour 14,-,Robbie King,85.83
05/03/2019,DPA Pro Tour 15,-,Haupai Puha,87.4
05/04/2019,CDC Pro Tour 3,-,Darin Young,88.78
05/04/2019,DPA Pro Tour 16,-,Robbie King,81.26
05/04/2019,DPA Pro Tour 17,-,Koha Kokiri,84.82
05/05/2019,CDC Pro Tour 4,-,Daniel Lauby Jr.,83.82
05/05/2019,DPA Pro Tour 18,-,Haupai Puha,84.51
05/05/2019,European Tour 5,ET,Michael van Gerwen,99.15
05/09/2019,European Tour Associate Member Qualifier 6,Q,,
05/09/2019,European Tour Home Nation Qualifier 6,Q,,
05/11/2019,Challenge Tour 5,-,Darren Beveridge,93.17
05/11/2019,Challenge Tour 6,-,Cameron Menzies,87.05
05/12/2019,Challenge Tour 7,-,Jesús Noguera,99.18
05/12/2019,Challenge Tour 8,-,Stephen Burton,88.44
05/12/2019,European Tour 6,ET,Ian White,97.5
05/17/2019,European Tour EU Card Holder Qualifier 7,Q,,
05/17/2019,European Tour EU Card Holder Qualifier 8,Q,,
05/17/2019,European Tour UK Card Holder Qualifier 7,Q,,
05/17/2019,European Tour UK Card Holder Qualifier 8,Q,,
05/18/2019,European Tour Associate Member Qualifier 7,Q,,
05/18/2019,European Tour Associate Member Qualifier 8,Q,,
05/18/2019,Players Championship 15,PT,Glen Durrant,96.58
05/19/2019,European Tour Associate Member Qualifier 9,Q,,
05/19/2019,Players Championship 16,PT,Harry Ward,92.04
05/23/2019,European Tour Home Nation Qualifier 7,Q,,
05/23/2019,Premier League,U,Michael van Gerwen,101.44
05/26/2019,European Tour 7,ET,Ian White,94.13
05/31/2019,DPA Pro Tour 19,-,Ben Robb,91.72
06/01/2019,CDC Pro Tour 5,-,Matt Campbell,85.47
06/01/2019,DPA Pro Tour 20,-,Damon Heta,84.13
06/01/2019,DPA Pro Tour 21,-,Haupai Puha,87.94
06/01/2019,JDC Junior Tour 9,-,Leighton Bennett,88.58
06/01/2019,JDC Junior Tour 10,-,Harry Gregory,89.28
06/02/2019,CDC Pro Tour 6,-,Joe Huffman,90.57
06/02/2019,DPA Pro Tour 22,-,Damon Heta,86.86
06/08/2019,Development Tour 9,-,Geert Nentjes,95.19
06/08/2019,Development Tour 10,-,Ted Evetts,97.56
06/09/2019,Development Tour 11,-,Luke Humphries,88.32
06/09/2019,Development Tour 12,-,Ted Evetts,90.51
06/09/2019,World Cup,U,,
06/13/2019,European Tour Home Nation Qualifier 8,Q,,
06/16/2019,European Tour 8,ET,Dave Chisnall,98.84
06/21/2019,Asian Tour 7,-,Lourence Ilagan,88.15
06/21/2019,European Tour EU Card Holder Qualifier 9,Q,,
06/21/2019,European Tour EU Card Holder Qualifier 10,Q,,
06/21/2019,European Tour UK Card Holder Qualifier 9,Q,,
06/21/2019,European Tour UK Card Holder Qualifier 10,Q,,
06/22/2019,Asian Tour 8,-,Lourence Ilagan,85.42
06/22/2019,Players Championship 17,PT,Krzysztof Ratajski,99.68
06/23/2019,Players Championship 18,PT,James Wade,95.26
06/27/2019,European Tour Eastern Europe Qualifier 9,Q,Sebastian Steyer,83.24
06/27/2019,European Tour Home Nation Qualifier 9,Q,,
06/29/2019,JDC Super 16 1,-,Henry Coates,75.56
06/30/2019,European Tour 9,ET,Jamie Hughes,97.36
07/04/2019,North American Darts Championship,-,Danny Baggish,87.14
07/05/2019,World Series of Darts 1,U,Nathan Aspinall,102.7
07/13/2019,Challenge Tour 9,-,Cody Harris,91.97
07/13/2019,Challenge Tour 10,-,Nick Fullwell,90.28
07/13/2019,JDC Super 16 2,-,Harry Gregory,78.18
07/13/2019,World Series of Darts 2,U,Peter Wright,95.77
07/14/2019,Challenge Tour 11,-,Berry van Peer,89.59
07/14/2019,Challenge Tour 12,-,Andy Jenkins,88.32
07/16/2019,Players Championship 19,PT,Peter Wright,100.43
07/17/2019,Players Championship 20,PT,Peter Wright,103.76
07/26/2019,Asian Tour 9,-,Paul Lim,87.02
07/27/2019,Asian Tour 10,-,Yuki Yamada,87.8
07/28/2019,World Matchplay,MJ,Rob Cross,98.14
08/02/2019,European Tour EU Card Holder Qualifier 11,Q,,
08/02/2019,European Tour EU Card Holder Qualifier 12,Q,,
08/02/2019,European Tour UK Card Holder Qualifier 11,Q,,
08/02/2019,European Tour UK Card Holder Qualifier 12,Q,,
08/03/2019,Players Championship 21,PT,Krzysztof Ratajski,93.38
08/04/2019,Players Championship 22,PT,Brendan Dolan,97.59
08/10/2019,CDC Pro Tour 7,-,Jeremiah Millar,86.23
08/10/2019,Challenge Tour 13,-,Cameron Menzies,94.69
08/10/2019,Challenge Tour 14,-,Patrick Lynskey,88.45
08/10/2019,World Series of Darts 3,U,Damon Heta,91.69
08/11/2019,CDC Pro Tour 8,-,Matt Campbell,88.01
08/11/2019,Challenge Tour 15,-,Jesús Noguera,95.17
08/11/2019,Challenge Tour 16,-,Callan Rydz,88.62
08/17/2019,Development Tour 13,-,Shane McGuirk,87.79
08/17/2019,Development Tour 14,-,Ted Evetts,87.03
08/17/2019,World Series of Darts 4,U,Michael van Gerwen,97.92
08/18/2019,Development Tour 15,-,Geert Nentjes,88.52
08/18/2019,Development Tour 16,-,Ted Evetts,91.12
08/23/2019,European Tour Nordic and Baltic Qualifier 11,Q,Dennis Nilsson,88.06
08/23/2019,European Tour Nordic and Baltic Qualifier 12,Q,Daniel Larsson,83.53
08/24/2019,European Tour Eastern Europe Qualifier 10,Q,Adam Gawlas,3
08/24/2019,European Tour Eastern Europe Qualifier 11,Q,Krzysztof Kciuk,3
08/24/2019,European Tour Nordic and Baltic Qualifier 13,Q,Cor Dekker,88.78
08/24/2019,Nordic Baltic Tour 5,-,Darius Labanauskas,91.61
08/24/2019,World Series of Darts 5,U,Michael van Gerwen,98.21
08/25/2019,European Tour Eastern Europe Qualifier 12,Q,Krzysztof Kciuk,3
08/25/2019,European Tour Eastern Europe Qualifier 13,Q,Boris Koltsov,3
08/25/2019,Nordic Baltic Tour 6,-,Marko Kantele,89.65
08/29/2019,European Tour Associate Member Qualifier 10,Q,,
08/29/2019,European Tour Home Nation Qualifier 10,Q,,
08/30/2019,Asian Tour 11,-,Seigo Asada,94.18
08/31/2019,Asian Tour 12,-,Seigo Asada,89.47
09/01/2019,European Tour 10,ET,Mensur Suljović,96.66
09/05/2019,European Tour Associate Member Qualifier 11,Q,,
09/05/2019,European Tour Home Nation Qualifier 11,Q,,
09/08/2019,European Tour 11,ET,Joe Cullen,99.63
09/10/2019,Players Championship 23,PT,Jose De Sousa,95.78
09/11/2019,Players Championship 24,PT,James Wade,95.52
09/12/2019,European Tour Associate Member Qualifier 12,Q,,
09/12/2019,European Tour Associate Member Qualifier 13,Q,,
09/12/2019,European Tour Home Nation Qualifier 12,Q,,
09/14/2019,CDC Pro Tour 9,-,Darin Young,85.06
09/15/2019,CDC Pro Tour 10,-,Danny Baggish,95.14
09/15/2019,European Tour 12,ET,Gerwyn Price,97.69
09/20/2019,DPA Pro Tour 23,-,Raymond O'Donnell,82.62
09/20/2019,European Tour EU Card Holder Qualifier 13,Q,,
09/20/2019,European Tour UK Card Holder Qualifier 13,Q,,
09/21/2019,DPA Pro Tour 24,-,Tim Pusey,85.33
09/21/2019,DPA Pro Tour 25,-,Damon Heta,90.1
09/21/2019,Players Championship 25,PT,Daryl Gurney,95.45
09/22/2019,DPA Pro Tour 26,-,Damon Heta,84.55
09/22/2019,Players Championship 26,PT,Mensur Suljović,98.02
09/25/2019,JDC International Open,-,Keane Barry,90.16
09/26/2019,European Tour Home Nation Qualifier 13,Q,,
09/26/2019,JDC World Championship,-,Keane Barry,91.54
09/28/2019,Challenge Tour 17,-,Ciarán Teehan,95.47
09/28/2019,Challenge Tour 18,-,Callan Rydz,89.29
09/29/2019,Challenge Tour 19,-,Kyle McKinstry,92.19
09/29/2019,Challenge Tour 20,-,Mark Barilli,85
09/29/2019,European Tour 13,ET,Krzysztof Ratajski,97.33
10/04/2019,Players Championship 27,PT,Gerwyn Price,98.03
10/05/2019,Players Championship 28,PT,Jose De Sousa,97.41
10/11/2019,DPA Pro Tour 27,-,Robbie King,87.83
10/12/2019,DPA Pro Tour 28,-,Gordon Mathers,84.75
10/12/2019,DPA Pro Tour 29,-,Gordon Mathers,90.99
10/12/2019,European Tour Nordic and Baltic Qualifier 1,Q,Daniel Larsson,83.64
10/12/2019,Nordic Baltic Tour 7,-,Darius Labanauskas,89.16
10/12/2019,World Grand Prix,MJ,Michael van Gerwen,92.03
10/13/2019,DPA Pro Tour 30,-,Damon Heta,87.82
10/13/2019,Nordic Baltic Tour 8,-,Madars Razma,85.01
10/14/2019,Players Championship 29,PT,Brendan Dolan,98.5
10/15/2019,Players Championship 30,PT,Peter Wright,100.12
10/16/2019,World Series Finals Tour Card Qualifier,Q,,
10/19/2019,World Championship - Southwest Europe Qualifier,Q,José Justicia,85.86
10/20/2019,Champions League,U,Michael van Gerwen,102.31
10/26/2019,JDC Super 16 3,-,Luke Littler,81.36
10/27/2019,European Championship,MJ,Rob Cross,96.43
11/01/2019,European Tour Nordic and Baltic Qualifier 2,Q,Mindaugas Barauskas,83.28
11/02/2019,Development Tour 17,-,Luke Humphries,94
11/02/2019,Development Tour 18,-,Ted Evetts,92.07
11/02/2019,Nordic Baltic Tour 9,-,Madars Razma,82.1
11/03/2019,Development Tour 19,-,Ted Evetts,91
11/03/2019,Development Tour 20,-,Luke Humphries,90.28
11/03/2019,Nordic Baltic Tour 10,-,Darius Labanauskas,90.86
11/03/2019,World Series of Darts Finals,U,Michael van Gerwen,101.98
11/04/2019,Grand Slam Qualifier 1,Q,,
11/09/2019,JDC Super 16 4,-,Alfie Jacques,77.11
11/09/2019,World Championship - Southeast Europe Qualifier,Q,Zoran Lerchbacher,91.08
11/16/2019,World Championship - Women's Qualifier (Rest of World),Q,Mikuru Suzuki,74.78
11/17/2019,Grand Slam,MJ,Gerwyn Price,98.69
11/24/2019,Players Championship Finals,MJ,Michael van Gerwen,99.27
11/24/2019,World Youth Championship,-,Luke Humphries,94.75
11/25/2019,World Championship - Women's Qualifier (UK),Q,Fallon Sherrock,85.61
11/26/2019,World Championship Tour Card Holder Qualifier 1,Q,,
01/01/2020,World Championship,WC,Peter Wright,99.18
01/16/2020,PDC Tour Card European Qualifying School 1,U,Harald Leitinger,87.64
01/16/2020,PDC Tour Card UK Qualifying School 1,U,,
01/17/2020,PDC Tour Card European Qualifying School 2,U,Mike De Decker,88.6
01/17/2020,PDC Tour Card UK Qualifying School 2,U,,
01/18/2020,PDC Tour Card European Qualifying School 3,U,Karel Sedláček,87.86
01/18/2020,PDC Tour Card UK Qualifying School 3,U,,
01/19/2020,PDC Tour Card European Qualifying School 4,U,Steffen Siepmann,86.85
01/19/2020,PDC Tour Card UK Qualifying School 4,U,,
01/25/2020,Challenge Tour 1,-,Robert Collins,87.68
01/25/2020,Challenge Tour 2,-,Scott Mitchell,93.98
01/25/2020,JDC Junior Tour 1,-,Nathan Care,80.9
01/25/2020,JDC Junior Tour 2,-,Luke Littler,78.24
01/26/2020,Challenge Tour 3,-,Matthew Dennant,92.6
01/26/2020,Challenge Tour 4,-,Jitse van der Wal,83.16
01/31/2020,DPA Pro Tour 1,-,Gordon Mathers,79.07
02/01/2020,DPA Pro Tour 2,-,Robbie King,86.18
02/02/2020,DPA Pro Tour 3,-,Kyle Anderson,93.67
02/02/2020,Masters,U,Peter Wright,98.49
02/07/2020,European Tour Eastern Europe Qualifier 1,Q,Benjamin Pratnemer,3
02/08/2020,European Tour Eastern Europe Qualifier 2,Q,Pero Ljubić,3
02/08/2020,European Tour Eastern Europe Qualifier 3,Q,Boris Koltsov,3
02/08/2020,Players Championship 1,PT,Gary Anderson,101.85
02/09/2020,European Tour Eastern Europe Qualifier 4,Q,Tytus Kanik,3
02/09/2020,European Tour Eastern Europe Qualifier 5,Q,Adam Gawlas,3
02/09/2020,Players Championship 2,PT,Nathan Aspinall,102
02/14/2020,European Tour Card Holder Qualifier 1,Q,,
02/14/2020,European Tour Card Holder Qualifier 2,Q,,
02/15/2020,JDC Junior Tour 3,-,Nathan Care,74.49
02/15/2020,JDC Junior Tour 4,-,Nathan Care,77.42
02/15/2020,Players Championship 3,PT,Ryan Searle,97.14
02/16/2020,Players Championship 4,PT,Krzysztof Ratajski,100.08
02/22/2020,EADC Pro Tour 1,-,Boris Koltsov,90.53
02/22/2020,EADC Pro Tour 2,-,Alexei Kadochnikov,82.8
02/22/2020,Players Championship 5,PT,Peter Wright,106.07
02/23/2020,EADC Pro Tour 3,-,Boris Koltsov,86.56
02/23/2020,Players Championship 6,PT,Gerwyn Price,100.5
02/27/2020,European Tour Associate Member Qualifier 1,Q,,
02/27/2020,European Tour Home Nation Qualifier 1,Q,,
02/27/2020,European Tour Nordic and Baltic Qualifier 4,Q,Andreas Harrysson,85.24
02/28/2020,European Tour Nordic and Baltic Qualifier 5,Q,Johan Engstrom,89.19
02/28/2020,European Tour Nordic and Baltic Qualifier 6,Q,Andreas Harrysson,83.62
02/29/2020,Development Tour 1,-,Berry van Peer,89.16
02/29/2020,Development Tour 2,-,Ryan Meikle,88.01
02/29/2020,European Tour Nordic and Baltic Qualifier 7,Q,Dennis Nilsson,84.33
02/29/2020,Nordic Baltic Tour 1,-,Kim Viljanen,84.11
03/01/2020,Development Tour 3,-,Ryan Meikle,89.56
03/01/2020,Development Tour 4,-,Wessel Nijman,87.41
03/01/2020,European Tour 1,ET,Gerwyn Price,96.76
03/01/2020,Nordic Baltic Tour 2,-,Daniel Larsson,89.76
03/06/2020,DPA Pro Tour 4,-,Mal Cuming,86.3
03/07/2020,DPA Pro Tour 5,-,Ben Robb,86.29
03/08/2020,DPA Pro Tour 6,-,Steve Fitzpatrick,85.03
03/08/2020,UK Open,MJ,Michael van Gerwen,104.47
03/13/2020,European Tour Card Holder Qualifier 3,Q,,
03/13/2020,European Tour Card Holder Qualifier 4,Q,,
03/14/2020,JDC Junior Tour 5,-,Nathan Potter,82.85
03/14/2020,JDC Junior Tour 6,-,Leighton Bennett,78.46
03/14/2020,Players Championship 7,PT,Nathan Aspinall,99.51
03/15/2020,Players Championship 8,PT,Ian White,102.5
06/05/2020,Home Tour 1,U,,
06/14/2020,German Super League 1,-,Nico Kurz,87.6
07/08/2020,Players Championship 9,PT,Michael van Gerwen,103.04
07/09/2020,Players Championship 10,PT,Ryan Joyce,98.52
07/10/2020,Players Championship 11,PT,Michael van Gerwen,99.78
07/11/2020,Players Championship 12,PT,James Wade,99.73
07/12/2020,Players Championship 13,PT,Peter Wright,100.44
07/26/2020,World Matchplay,MJ,Dimitri Van den Bergh,97.89
08/29/2020,CDC Cyber Series 1,-,Matt Campbell,87.81
09/11/2020,World Series Finals Tour Card Qualifier,Q,,
09/12/2020,Players Championship 14,PT,Peter Wright,99.75
09/13/2020,Players Championship 15,PT,Damon Heta,92.88
09/14/2020,Players Championship 16,PT,Michael van Gerwen,99.13
