Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
13.07.1995,,2025,Deutschland,Rechtshänder,Evo 21g,Kai Gotthardt,Gotthardt K.
12.03.2004,2023,,Deutschland,Rechtshänder,,Paul Goyer,Goyer P.
21.11.1990,2006,2010,,Rechtshänder,Target Jeffrey de Graaf 23g,Jeffrey de Graaf,de Graaf J.
04.09.1994,,,Kroatien,Rechtshänder,,Romeo Grbavac,Grbavac R.
23.08.1977,,,Wales,Rechtshänder,,Mark Graham,Graham M.
28.02.1981,1999,2019,England,Rechtshänder,Target Adrian Gray 21g,Adrian Gray,Gray A.
,,,England,,,Shaun Greatbatch,Greatbatch S.
,1997,2007,Niederlande,Rechtshänder,24g,Toon Greebe,Greebe T.
19.07.1974,1991,,Engländer,,,Robbie Green,Green R.
,,,England,Rechtshänder,22g,Mike Gregory,Gregory M.
31.01.1994,,,Niederlande,Rechtshänder,,Roy van de Griendt,van de Griendt R.
18.01.1997,,,Wales,Rechtshänder,Mission Darts,Rhys Griffin,Griffin R.
24.11.1991,,,England,,,Shaun Griffiths,Griffiths S.
30.05.1995,2010,2017,Niederlande,Rechtshänder,,Sven Groen,Groen S.
15.06.2002,2014,,Deutschland,Rechtshänder,,Mika Große-Stoltenberg,Große-Stoltenberg M.
27.03.2002,,,Deutschland,Rechtshänder,22g,Dominik Grüllich,Grüllich D.
29.07.1977,,,England,Rechtshänder,Datadart,Robert Grundy,Grundy R.
03.10.1997,2009,,Österreich,Rechtshänder,Custom Made 25g,Fredi Gsellmann,Gsellmann F.
,,,Island,Linkshänder,,Petur Rudrik Gudmundsson,Rudrik Gudmundsson P.
22.03.1986,1996,2013,Nordirland,Rechtshänder,Red Dragon Daryl Gurney 24g,Daryl Gurney,Gurney D.
10.06.2001,2015,,England,Rechtshänder,,Lewis Gurney,Gurney L.
20.02.2002,,,Deutschland,Rechtshänder,,Mitja Gustorf,Gustorf M.
11.05.1987,2007,2013-2014,Finnland,Rechtshänder,24g Unicorn,Jani Haavisto,Haavisto J.
31.10.1996,,,Österreich,Rechtshänder,,Dominik Haberl,Haberl D.
11.04.2000,2009,,Deutschland,Rechtshänder,Elimate Darts,Philipp Hagemann,Hagemann P.
,,,England,,,Steve Haggerty,Haggerty S.
,,,Österreich,Rechtshänder,,Marcus Haider,Haider M.
19.07.1964,1983,,England,Rechtshänder,One80 Signature 16g,Johnny Haines,Haines J.
1972,1995,,Bahrain,Rechtshänder,,Hasan Haji,Haji H.
09.09.1989,2013,,England,Rechtshänder,Mission Darts,Graham Hall,Hall G.
16.03.1967,1981,,England,,,Andy Hamilton,Hamilton A.
05.11.1987,2017,,England,Rechtshänder,,Carl Hamilton,Hamilton C.
19.03.1990,2009,,England,Rechtshänder,,Curtis Hammond,Hammond C.
,2004,,China,Rechtshänder,One80 Signature 23g,Xicheng Han,Han X.
15.12.1994,2017,,Deutschland,Rechtshänder,Krauspe Darts,Christopher Hänsch,Hänsch C.
07.07.1979,,,Kanada,Rechtshänder,,Rory Hansen,Hansen R.
30.11.1991,2003,,Deutschland,Rechtshänder,Raymond van Barneveld 25g,Marcel Hausotter,Hausotter M.
20.02.1968,1977,1998,England,Rechtshänder,Red Dragon 14g,Ted Hankey,Hankey T.
22.10.1965,1997,,Dänemark,Linkshänder,21g,Niels-Jørgen Hansen,Hansen N.
15.06.1961,1986,,Schottland,Rechtshänder,Tommy Darts 26g,Paul Hanvidge,Hanvidge P.
28.06.1961,1979,,England,Rechtshänder,Unicorn 20g,Dennis Harbour,Harbour D.
,2007,,Finnland,Rechtshänder,,Teemu Harju,Harju T.
11.06.1984,2003,2008,Niederlande,Rechtshänder,,Wesley Harms,Harms W.
09.10.1953,1993,,Neuseeland,Rechtshänder,22g Target,Dave Harrington,Harrington D.
30.12.1957,,,England,Rechtshänder,,Rod Harrington,Harrington R.
19.08.1990,2008,2011,England,Rechtshänder,,Ryan Harrington,Harrington R.
11.11.1977,1994,,Wales,Rechtshänder,24g Harrows Signature,Chris Harris,Harris C.
10.10.1985,1994,2017,Neuseeland,Rechtshänder,21g Shot Signature,Cody Harris,Harris C.
03.06.1975,2013,2019,Schweden,Rechtshänder,Winmau 21g,Andreas Harrysson,Harrysson A.
09.09.1991,2003,,Deutschland,Rechtshänder,,Mick Hasse,Hasse M.
30.11.1991,2003,,Deutschland,Rechtshänder,Raymond van Barneveld 25g,Marcel Hausotter,Hausotter M.
29.12.1964,2011,,Finnland,Rechtshänder,,Teuvo Haverinen,Haverinen T.
08.10.1994,,,England,Linkshänder,,Rhys Hayden,Hayden R.
22.05.1990,2013,,England,Rechtshänder,25g Cuesoul,Ben Hazel,Hazel B.
14.06.1993,2010,,England,Rechtshänder,23g,Sam Head,Head S.
09.12.1974,2014,2021,England,Rechtshänder,,Jason Heaver,Heaver J.
05.10.1955,,,Deutschland,,,Bernd Hebecker,Hebecker B.
04.09.1969,2009,,Dänemark,Rechtshänder,,Niels Heinsøe,Heinsøe N.
28.01.1977,,,Deutschland,Rechtshänder,,Simeon Heinz,Heinz S.
,,,Norwegen,Rechtshänder,,Hakon Bjorge Helling,Bjorge Helling H.
